name,genres,followers,popularity,time_range
Cigarettes After Sex,dream pop,16193840,86,1_month
100 gecs,"hyperpop, glitch",653859,62,1_month
Xiao,"hardcore punk, grindcore, hardcore, mathcore",7388,30,1_month
Dry Socket,"hardcore punk, hardcore, queercore",4285,19,1_month
Turnstile,"hardcore punk, hardcore",696851,74,1_month
Victoria,,52751,52,1_month
xEIGHTY-SIXEDx,deathcore,3767,11,1_month
HARU NEMURI,"j-rock, japanese indie",84618,39,1_month
Juicebox,"hardcore, hardcore punk",1946,11,1_month
Officer Down,hardcore,1450,12,1_month
Doov,,18799,48,1_month
Artemas,,1270927,78,1_month
Mugshot,"deathcore, hardcore, hardcore punk, metalcore",31639,42,1_month
holder,"screamo, mathcore, metalcore",3553,28,1_month
Garro,"hardcore punk, hardcore",2287,13,1_month
Mortality Rate,"hardcore, hardcore punk",27044,30,1_month
Desolated,"hardcore, deathcore, hardcore punk",39667,41,1_month
Whispers,"hardcore, hardcore punk",14826,36,1_month
XweaponX,"hardcore, hardcore punk",25830,41,1_month
G.L.O.S.S.,"queercore, riot grrrl, hardcore punk, punk",47021,27,1_month
FIDLAR,"garage rock, surf rock, skate punk, indie punk",336944,53,1_month
SCALP,"grindcore, hardcore, hardcore punk",30673,34,1_month
My Chemical Romance,"emo, pop punk",9841460,81,1_month
SIN AGAINST SIN,hardcore,637,18,1_month
d4vd,,4151486,84,1_month
