name,genres,followers,popularity,time_range
Cigarettes After Sex,dream pop,16193840,86,2_years
FIDLAR,"garage rock, surf rock, skate punk, indie punk",336944,53,2_years
Knocked Loose,"hardcore, metalcore, deathcore, hardcore punk",600189,63,2_years
100 gecs,"hyperpop, glitch",653859,62,2_years
Cerce,"queercore, riot grrrl, hardcore punk, screamo, hardcore",19154,25,2_years
Poison The Well,"metalcore, post-hardcore, mathcore, screamo, hardcore, melodic hardcore",113988,45,2_years
Thirdface,"hardcore punk, hardcore, egg punk, grindcore",8910,16,2_years
Scowl,"hardcore punk, riot grrrl, hardcore",100076,49,2_years
Axty,"metalcore, deathcore",37280,36,2_years
The Hirs Collective,"queercore, grindcore, mathcore, hardcore punk",20214,25,2_years
Rejoice,"hardcore, hardcore punk",2219,11,2_years
Scene Queen,,288306,54,2_years
Jesus Piece,"hardcore, hardcore punk, metalcore, mathcore, deathcore",107657,39,2_years
Zulu,"hardcore, hardcore punk",69212,35,2_years
Hot Mulligan,"midwest emo, pop punk, emo, math rock",298016,64,2_years
Microwave,"midwest emo, emo, pop punk",141262,52,2_years
Geordie Kieffer,,56242,57,2_years
Desolated,"hardcore, deathcore, hardcore punk",39667,41,2_years
Teeth,"mathcore, deathcore, metalcore",18500,29,2_years
CELL,"deathcore, death metal, grindcore",11663,36,2_years
Nova Twins,,160433,55,2_years
Officer Down,hardcore,1450,12,2_years
Kidnapped,"grindcore, mathcore, hardcore",2608,17,2_years
Stand Atlantic,pop punk,246322,56,2_years
SPY,"hardcore punk, hardcore, egg punk",36579,36,2_years
