name,genres,followers,popularity,time_range
Cigarettes After Sex,dream pop,16193840,86,6_months
100 gecs,"hyperpop, glitch",653859,62,6_months
Xiao,"hardcore punk, grindcore, hardcore, mathcore",7388,30,6_months
Juicebox,"hardcore, hardcore punk",1946,11,6_months
Shaboozey,,1237031,81,6_months
Officer Down,hardcore,1450,12,6_months
FIDLAR,"garage rock, surf rock, skate punk, indie punk",336944,53,6_months
xEIGHTY-SIXEDx,deathcore,3767,11,6_months
Gnostician,"mathcore, deathcore",941,6,6_months
Bleeding Through,"metalcore, deathcore",120767,38,6_months
Scowl,"hardcore punk, riot grrrl, hardcore",100076,49,6_months
Turnstile,"hardcore punk, hardcore",696851,74,6_months
d4vd,,4151486,84,6_months
Poison The Well,"metalcore, post-hardcore, mathcore, screamo, hardcore, melodic hardcore",113988,45,6_months
God Complex,"mathcore, deathcore, metalcore, hardcore",22048,33,6_months
Axty,"metalcore, deathcore",37280,36,6_months
Dry Socket,"hardcore punk, hardcore, queercore",4285,19,6_months
STOLEN GUN,"deathcore, hardcore",4460,30,6_months
Cerce,"queercore, riot grrrl, hardcore punk, screamo, hardcore",19154,25,6_months
SIN AGAINST SIN,hardcore,637,18,6_months
Victoria,,52751,52,6_months
Commitment,hardcore,88,4,6_months
Mortality Rate,"hardcore, hardcore punk",27044,30,6_months
Artemas,,1270927,78,6_months
EYES,"mathcore, noise rock",5319,26,6_months
